Input.sentence,Input.info,Answer.MakeSense.on,Answer.rewrite
Manufacturers have survived the turmoil in China largely unscathed,[ 'manufacturer' 'hidden' ],FALSE,Hidden manufacturer have survived the turmoil in China largely unscathed
I want to add one more truck Mr. Huber says,[ 'truck' 'white' ],TRUE,I want to add one more white truck Mr. Huber says
It ended with a gain of 88.12 points,[ 'point' 'under' 'neck' ],FALSE,It ended with a gain of 88.12 points under neck
The notice also grants relief for certain estate-tax returns,[ 'relief' 'woman' ],FALSE,The notice also grants relief for women for certain estate-tax returns
It ended with a gain of 88.12 points,[ 'point' 'sharp' ],FALSE,It ended with a gain of 88.12 sharp points
"The filing said the group continues to hold 3,481,887 remaining shares",[ 'filing' 'red' ],FALSE,"The red filing said the group continues to hold 3,481,887 remaining shares"
Many people here expect a room-rate war as the new projects open,[ 'people' 'ON' 'skis' ],FALSE,Many people on skis here expect a room-rate war as the new projects open
So far all the studies have concluded that RU-486 is safe,[ 'book' 'for' 'study' ],FALSE,So far all the books for studies have concluded that RU-486 is safe
The notice also grants relief for certain estate-tax returns,[ 'return' 'ON' 'street' ],FALSE,The notice also grants relief for certain estate tax returns on the street
"The filing said the group continues to hold 3,481,887 remaining shares",[ 'group' 'OF' 'cows' ],FALSE,"The filing said the group of cows continues to hold 3,481,887 remaining shares"
I wish he could wear lifts in his voice,[ 'lift' 'behind' 'people' ],FALSE,N/A
The notice also grants relief for certain estate-tax returns,[ 'return' 'black' ],FALSE,The notice also grants relief for certain estate tax black returns
Many people here expect a room-rate war as the new projects open,[ 'people' 'standing' ],FALSE,Many people standing here expect a room-rate war as the new projects open
Still employees do occasionally try to smuggle out a gem or two,[ 'employee' 'eating a' 'burrito' ],TRUE,Still employees eating a burrito do occasionally try to smuggle out a gem or two
"The filing said the group continues to hold 3,481,887 remaining shares",[ 'group' 'large' ],TRUE,The filing said the large group continues to hold 3481887 remaining shares
California 's high-priced real estate puts it in an awkward position too,[ 'estate' 'grey' ],FALSE,California's high-priced grey real estate puts it in an awkward position too
Still employees do occasionally try to smuggle out a gem or two,[ 'employee' 'airport' ],TRUE,Still airport employees do occasionally try to smuggle out a gem or two
I wish he could wear lifts in his voice,[ 'lift' 'ski' ],FALSE,I wish he could wear ski lifts in his voice
Many people here expect a room-rate war as the new projects open,[ 'war' 'ON' 'sign' ],TRUE,Many people here expect to see a room-rate war on the sign as the new projects open
Several other banks have similar applications pending,[ 'bank' 'OF' 'river' ],FALSE,Several other banks of rivers have similar applications pending
California 's high-priced real estate puts it in an awkward position too,[ 'man' 'IN' 'position' ],FALSE,Californias high prices real estate puts it in an awkward position in a man too
I wish he could wear lifts in his voice,[ 'voice' 'written' 'on it' ],FALSE,I wish he could wear lifts in his voice written on it
Still employees do occasionally try to smuggle out a gem or two,[ 'gem' 'ON' 'hat' ],TRUE,Still employees do occasionally try to smuggle out a gem on a hat or two
Many people here expect a room-rate war as the new projects open,[ 'war' 'word' ],TRUE,Many people here expect a room-rate word war as the new projects open
Several other banks have similar applications pending,[ 'bank' 'grassy' ],TRUE,Several other grassy banks have similar applications pending
Many people here expect a room-rate war as the new projects open,[ 'he' 'discussing' 'project' ],TRUE,Many people here expect a room rate war as the new projects he was discussing open
California 's high-priced real estate puts it in an awkward position too,[ 'position' 'upright' ],FALSE,California's high-priced real estate puts it in an awkward upright position too
Still employees do occasionally try to smuggle out a gem or two,[ 'gem' 'blue' ],TRUE,Still employees do occasionally try to smuggle out a blue gem or two
The transaction represents Lynch 's entry into the telephone business,[ 'entry' 'to' 'building' ],FALSE,The transaction represents Lynch's entry to the building into the telephone business
Several other banks have similar applications pending,[ 'application' 'on a' 'cellphone' ],TRUE,Several other banks have similar applications on a cellphone pending
Many people here expect a room-rate war as the new projects open,[ 'project' 'sewing' ],TRUE,Many people here expect a room-rate war as the new sewing projects open
The quarter was terrible and the future looks anything but encouraging,[ 'quarter' 'OF' 'sandwich' ],TRUE,The quarter of the sandwich was terrible and the future looks anything but encouraging
Several other banks have similar applications pending,[ 'application' 'loaded' ],TRUE,Several other banks have similar loaded applications pending
The answer will be obvious,[ 'test questions' 'with' 'answer' ],TRUE,The test questions with an answer will be obvious
The transaction represents Lynch 's entry into the telephone business,[ 'entry' 'dark' ],TRUE,The transaction represents Lynch's dark entry into the telephone business
I much prefer money I can put my hands on,[ 'money' 'ON' 'table' ],FALSE,I much prefer table money I can put my hands on
First the price of natural gas will have to almost double,[ 'price' 'tag' 'roll' ],FALSE,First the price tag roll of natural gas will have to almost double
The transaction represents Lynch 's entry into the telephone business,[ 'telephone' 'on top of' 'night stand' ],FALSE,The transaction represents Lynch's entry into the telephone on top of night stand business
I care very much for this post he says,[ 'post' 'ON' 'concrete' ],TRUE,I care very much for this post on the concrete he says
The quarter was terrible and the future looks anything but encouraging,[ 'quarter' 'silver' ],FALSE,The silver quarter was terrible and the future looks anything but encouraging
The transaction represents Lynch 's entry into the telephone business,[ 'telephone' 'black' ],FALSE,The transaction represents Lynch's entry into the black telephone business
The quarter was terrible and the future looks anything but encouraging,[ 'part' 'of a speaker not connected to' 'anything' ],FALSE,The quarter was terrible and the future looks part of a speaker not connected to anything but encouraging
First the price of natural gas will have to almost double,[ 'price' 'written' ],TRUE,First the written price of natural gas will have to almost double
I much prefer money I can put my hands on,[ 'money' 'paper' ],TRUE,I much prefer paper money I can put my hands on
The transaction represents Lynch 's entry into the telephone business,[ 'business' 'IN' 'city' ],FALSE,The transaction represents Lynch's entry into the telephone business in the city
I care very much for this post he says,[ 'post' 'wooden' ],FALSE,I care very much for this wooden post he says
They are starting to buy growth stocks,[ 'growth' 'on' 'shore' ],FALSE,They are starting to buy growth stocks on shore
The transaction represents Lynch 's entry into the telephone business,[ 'business' 'here' ],TRUE,The business transaction here represents Lynch's entry into the telephone business
Andy Zipser in Dallas contributed to this article,[ 'article' 'ON' 'screen' ],TRUE,Andy Zipser in Dallas contributed to this article on screen
First the price of natural gas will have to almost double,[ 'gas' 'range' 'stove' ],TRUE,First the price of a natural gas range stove will have to almost double
They are starting to buy growth stocks,[ 'growth' 'green' ],FALSE,They are starting to buy green growth stocks
I much prefer money I can put my hands on,[ 'hand' 'OF' 'stuffed animal' ],TRUE,I much prefer money I can put my hands of stuffed animals on
The Dow Jones Industrial Average fell 26.23 points to 2662.91,[ 'point' 'ON' 'sign' ],FALSE,n/a
First the price of natural gas will have to almost double,[ 'gas' 'invisible' ],FALSE,First the price of natural invisible gas will have to almost double
I much prefer money I can put my hands on,[ 'hand' 'black' ],TRUE,I much prefer money I can put my black hands on
They are starting to buy growth stocks,[ 'stock' 'of' 'stock' ],FALSE,They are starting to buy growth stocks of stock
The Dow Jones Industrial Average fell 26.23 points to 2662.91,[ 'point' 'sharp' ],FALSE,The Dow Jones Industrial Average fell 26.23 sharp points to 2662.91
They are starting to buy growth stocks,[ 'stock' 'green' ],TRUE,They are starting to buy green growth stocks
But going against the grain has never bothered Mr. Andersson,[ 'grain' 'OF' 'wood' ],TRUE,Going against the grain of wood has never been an issue for Mr. Andersson.
You could still have some very bad times ahead said Mr. Bachmann,[ 'time' 'on' 'stove' ],FALSE,You could still have some very bad times on the stove ahead said Mr Bachmann
EAST GERMANS RALLIED in three cities to demand democratic freedoms,[ 'east' 'ON' 'sign' ],FALSE,East on the sign Germans rallied in three cities to demand democratic freedoms
But going against the grain has never bothered Mr. Andersson,[ 'grain' 'wood' ],TRUE,But going against the wood grain has never bothered Mr. Andersson
People in the phone business call this technology 900 click,[ 'people' 'WEARING' 'shirts' ],FALSE,People wearing shirts in the phone business call this technology 900 click
EAST GERMANS RALLIED in three cities to demand democratic freedoms,[ 'german' 'written on side of' 'engine' ],FALSE,East Germans written on the side of the engine rallies in three cities to demand democratic freedom
People in the phone business call this technology 900 click,[ 'people' 'standing' ],FALSE,People standing in the phone business call this technology 900 click
He reports his business is up slightly from customers replacing old stock,[ 'business' 'ON' 'building' ],FALSE,He reports his business on the building is up slightly from customers replacing old stock
People in the phone business call this technology 900 click,[ 'phone' 'IN' 'hands' ],TRUE,People in the hands phone business call this technology 900 click
He reports his business is up slightly from customers replacing old stock,[ 'business' 'here' ],TRUE,He reports his business here is up slightly from customers replacing old stock
EAST GERMANS RALLIED in three cities to demand democratic freedoms,[ 'city' 'near' 'water' ],TRUE,EAST GERMANS RALLIED in three cities near water to demand democratic freedoms
You could still have some very bad times ahead said Mr. Bachmann,[ 'time' 'displayed' ],FALSE,You could still have some very bad displayed times ahead said Mr. Bachmann
People in the phone business call this technology 900 click,[ 'phone' 'black' ],TRUE,People in the black phone business call this technology 900 click
He reports his business is up slightly from customers replacing old stock,[ 'customer' 'waiting to buy' 'seafood' ],TRUE,He reports his business is up slightly from customers waiting to buy seafood and replacing old stock
People in the phone business call this technology 900 click,[ 'business' 'ON' 'building' ],FALSE,People in the phone business on the building call this technology 900 click
The notes can be redeemed starting in July 1991,[ 'note' 'ON' 'paper' ],FALSE,The notes on paper can be redeemed starting in July 1991
He reports his business is up slightly from customers replacing old stock,[ 'customer' 'waiting' ],TRUE,He reports his waiting business is up slightly from customers replacing old stock
EAST GERMANS RALLIED in three cities to demand democratic freedoms,[ 'city' 'large' ],FALSE,EAST GERMANS rallied in three large cities to demand democratic freedoms
People in the phone business call this technology 900 click,[ 'business' 'here' ],FALSE,People in the phone here business call this technology 900 click
People in the phone business call this technology 900 click,[ 'technology' 'has' 'dial' ],TRUE,People in the phone business call this technology that has a dial 900 click
The notes can be redeemed starting in July 1991,[ 'note' 'yellow' ],FALSE,The yellow note can be redeemed starting in July 1991
He reports his business is up slightly from customers replacing old stock,[ 'stock' 'OF' 'broccoli' ],FALSE,He reports his business is up slightly from customers replacing old stocks of broccoli
The department also said it takes four months to establish a trend,[ 'horse' 'used' 'department' ],FALSE,The used horse department also said it takes four months to establish a trend
People in the phone business call this technology 900 click,[ 'technology' 'silver' ],TRUE,People in the phone business call this silver technology 900 click
Many called it simply a contrast in styles,[ 'style' 'ON' 'ceiling' ],FALSE,N/A
Andy Zipser in Dallas contributed to this article,[ 'article' 'newspaper' ],FALSE,Andy Zipser in Dallas contributed to this newspaper article
The department also said it takes four months to establish a trend,[ 'department' 'British police ' ],TRUE,The British police department also said it takes four months to establish a trend
He reports his business is up slightly from customers replacing old stock,[ 'stock' 'green' ],FALSE,He reports his business is up slightly from customers replacing old green stock
People in the phone business call this technology 900 click,[ 'click' 'ON' 'plane' ],FALSE,People in the phone business call this technology 900 click on the plane
Was 300 ft. out on a pier in San Rafael,[ 'pier' 'near' 'boats' ],TRUE,Was 300 ft out on a pier near the boats in San Rafael
Many called it simply a contrast in styles,[ 'style' 'old' ],TRUE,Many called it simply a contrast in old styles
I do n't think anyone left the place whistling Dixie,[ 'place' 'full of' 'snow' ],FALSE,I don't think anyone left the place full of snow whistling Dixie
The department also said it takes four months to establish a trend,[ 'month' 'around' 'face' ],FALSE,The department also said it takes four months around the face to establish a trend
But do n't do anything rash,[ 'part' 'of a speaker not connected to' 'anything' ],FALSE,But do not do part of a speaker not connected to anything rash
Was 300 ft. out on a pier in San Rafael,[ 'pier' 'wooden' ],TRUE,Was 300 ft. out on a wooden pier in San Rafael
West German bond prices ended lower after a day of aimless trading,[ 'bond' 'black ' ],FALSE,West German black bond prices ended lower after a day of aimless trading
This untried concept would expose these firms to potentially astronomical punitive damages,[ 'damage' 'IN' 'building' ],FALSE,This untried concept would expose these firms to potentially astronomical punitive damage in the building
The department also said it takes four months to establish a trend,[ 'month' 'ninth' ],FALSE,The department also said it takes four ninth months to establish a trend
West German bond prices ended lower after a day of aimless trading,[ 'price' 'OF' 'hot dog' ],TRUE,West German bond prices of hot dogs ended lower after a day of aimless trading
This untried concept would expose these firms to potentially astronomical punitive damages,[ 'damage' 'moisture' ],TRUE,This untried concept would expose these firms to potentially astronomical punitive damages from moisture
I do n't think anyone left the place whistling Dixie,[ 'place' 'full' ],TRUE,I do not think anyone left the full place whistling Dixie
Fluor Corp. a construction engineering firm gained 75 cents to 33.375,[ 'construction' 'ON' 'road' ],FALSE,Fluor Corp. a construction on road engineering firm gained 75 cents to 33.375
In over-the-counter trading Monday the stock closed at 10.625 off 37.5 cents,[ 'red t' 'IN' 'trading' ],TRUE,In over the counter trading in red t Monday the stock closed at 10.625 off 37.5 cents
West German bond prices ended lower after a day of aimless trading,[ 'price' 'written' ],TRUE,West German bond prices when written ended lower after a day of aimless trading
Judges will write the real bill as suits roll through the courts,[ 'judge' 'wears' 'sneaker' ],TRUE,Judges who wear sneakers will write the real bill as suits roll through the courts
Fluor Corp. a construction engineering firm gained 75 cents to 33.375,[ 'construction' 'gate' ],TRUE,Fluor Corp. a construction gate engineering firm gained 75 cents to 33.375
Opponents of the cut are playing hardball,[ 'opponent' 'wears' 'green' ],FALSE,Opponents that wear green of the cut are playing hardball
Its many lively stories include the Gutfreund-Postel holiday cheer imbroglio,[ 'story' 'ON' 'church' ],TRUE,Its many lively stories on the church include the Gutfreund Postel holiday cheer imbroglio
West German bond prices ended lower after a day of aimless trading,[ 'day' 'with' 'tower' ],TRUE,West German bond prices ended lower after a day that has a tower of aimless trading
In over-the-counter trading Monday the stock closed at 10.625 off 37.5 cents,[ 'stock' 'OF' 'broccoli' ],TRUE,In  over the counter trading Monday the broccoli stock closed at 10.625 off 37.5 cents
Judges will write the real bill as suits roll through the courts,[ 'judge' 'tennis line' ],FALSE,Tennis line judges will write real bill as suits roll through the courts
Opponents of the cut are playing hardball,[ 'opponent' 'standing' ],FALSE,Standing opponent of the cut are playing hardball
Its many lively stories include the Gutfreund-Postel holiday cheer imbroglio,[ 'story' 'second' ],FALSE,Its many lively second stories include the Gutfreund-Postel holiday cheer imbroglio
In over-the-counter trading Monday the stock closed at 10.625 off 37.5 cents,[ 'stock' 'green' ],TRUE,In over the counter trading Monday the green stock closed at 10.625 off 37.5 cents
Judges will write the real bill as suits roll through the courts,[ 'bill' 'ON' 'duck' ],FALSE,Judges will write the real bill on the duck as suits roll through the courts
Its many lively stories include the Gutfreund-Postel holiday cheer imbroglio,[ 'printed' 'happy' 'holiday' ],TRUE,Its many lively stories include the Gutfreund-Postel happy holiday cheer imbroglio they had printed
Opponents of the cut are playing hardball,[ 'cut' 'on corner of' 'paper' ],FALSE,Opponents on the cut on corner of paper are playing hardball.
West German bond prices ended lower after a day of aimless trading,[ 'day' 'sunny' ],TRUE,West German bond prices ended lower after a sunny day of aimless trading
The reputed wealth of the Unification Church is another matter of contention,[ 'matter' 'has' 'surfaces' ],TRUE,The reputed wealth of the Unification Church is another matter that has surfaces of contention
Opponents of the cut are playing hardball,[ 'cut' 'small' ],FALSE,Opponents of the small cut are playing hardball
Its many lively stories include the Gutfreund-Postel holiday cheer imbroglio,[ 'holiday' 'colorful' ],FALSE,Its many lively stories include the Gutfreund-Postel colorful holiday cheer imbroglio
West German bond prices ended lower after a day of aimless trading,[ 'red t' 'IN' 'trading' ],FALSE,West German bond prices ended lower after a day of aimless trading in red t
The reputed wealth of the Unification Church is another matter of contention,[ 'matter' 'green' ],FALSE,The reputed wealth of the Unification Church is another green matter of contention
Judges will write the real bill as suits roll through the courts,[ 'bill' 'orange' ],TRUE,Judges will write the real orange bill as suits roll through the courts
The tape was on tv before the night was out,[ 'tape' 'by' 'truck' ],TRUE,The tape by the truck was on tv before the night was out
I ca n't do anything score-wise but I like meeting the girls,[ 'part' 'of a speaker not connected to' 'anything' ],FALSE,I cannot do part of a speaker not connected to anything score wise but I like meeting the girls
